Words to Learn

Learned Words

The Rest
Yo soy estudiante;Я студент
A nosotros nos gusta la comida;Нам нравится еда
A nosotros nos gusta el fútbol;Нам нравится футбол
A vosotros os gusta bailar;Вам нравится танцевать
A vosotros os gusta el teatro;Вам нравится театр
A vosotros os gusta la naturaleza;Вам нравится природа
A ellos les gusta la fiesta;Им нравятся вечеринки
A ellos les gusta el arte;Им нравится искусство
A ellos les gusta nadar;Им нравится плавать
Yo tengo un libro;У меня есть книга
Yo tengo hambre;Я голоден
Yo tengo 20 años;Мне 20 лет
Tú tienes un perro;У тебя есть собака
Tú tienes razón;Ты прав
Tú tienes tiempo;У тебя есть время
Él tiene una casa;У него есть дом
Él tiene miedo;Ему страшно
Él tiene trabajo;У него есть работа
Ella tiene un coche;У нее есть машина
Ella tiene frío;Ей холодно
Ella tiene una idea;У нее есть идея
Nosotros tenemos una familia;У нас есть семья
Nosotros tenemos planes;У нас есть планы
Nosotros tenemos suerte;Нам везет
Vosotros tenéis amigos;У вас есть друзья
Vosotros tenéis razón;Вы правы
Vosotros tenéis talento;У вас есть талант
Ellos tienen dinero;У них есть деньги
Ellos tienen sueños;У них есть мечты
Ellos tienen problemas;У них есть проблемы
Yo hago mi tarea;Я делаю свое домашнее задание
Yo hago ejercicio;Я делаю упражнения
Yo hago la cena;Я готовлю ужин
Tú haces un pastel;Ты делаешь торт
Tú haces preguntas;Ты задаешь вопросы
Tú haces deporte;Ты занимаешься спортом
Él hace su cama;Он застилает свою кровать
Él hace un dibujo;Он делает рисунок
Él hace planes;Он строит планы
Ella hace yoga;Она занимается йогой
Ella hace compras;Она делает покупки
Ella hace música;Она создает музыку
Nosotros hacemos una fiesta;Мы устраиваем вечеринку
Nosotros hacemos un viaje;Мы совершаем путешествие
Nosotros hacemos amigos;Мы заводим друзей
Vosotros hacéis ruido;Вы шумите
Vosotros hacéis un trabajo;Вы выполняете работу
Vosotros hacéis bromas;Вы шутите
Ellos hacen un esfuerzo;Они прилагают усилие
Ellos hacen una película;Они снимают фильм
Ellos hacen negocios;Они занимаются бизнесом
Yo puedo nadar;Я могу плавать
Yo puedo ayudarte;Я могу тебе помочь
Yo puedo cantar;Я могу петь
Tú puedes correr;Ты можешь бегать
Tú puedes aprender;Ты можешь учиться
Tú puedes ganar;Ты можешь выиграть
Él puede cocinar;Он может готовить
Él puede trabajar;Он может работать
Él puede viajar;Он может путешествовать
Ella puede bailar;Она может танцевать
Ella puede enseñar;Она может учить
Ella puede conducir;Она может водить машину
Nosotros podemos jugar;Мы можем играть
Nosotros podemos estudiar;Мы можем учиться
Nosotros podemos cambiar;Мы можем измениться
Vosotros podéis venir;Вы можете прийти
Vosotros podéis elegir;Вы можете выбирать
Vosotros podéis ganar;Вы можете выиграть
Ellos pueden leer;Они могут читать
Ellos pueden volar;Они могут летать
Ellos pueden entender;Они могут понимать
Yo digo la verdad;Я говорю правду
Yo digo hola;Я говорю привет
Yo digo gracias;Я говорю спасибо
Tú dices mentiras;Ты говоришь ложь
Tú dices adiós;Ты говоришь пока
Tú dices perdón;Ты говоришь извини
Él dice su nombre;Он говорит свое имя
Él dice la hora;Он говорит время
Él dice un secreto;Он говорит секрет
Ella dice la verdad;Она говорит правду
Ella dice una historia;Она рассказывает историю
Ella dice un chiste;Она рассказывает шутку
Nosotros decimos sí;Мы говорим да
Nosotros decimos no;Мы говорим нет
Nosotros decimos por favor;Мы говорим пожалуйста
Vosotros decís la respuesta;Вы говорите ответ
Vosotros decís buenos días;Вы говорите доброе утро
Vosotros decís buenas noches;Вы говорите спокойной ночи
Ellos dicen tonterías;Они говорят глупости
Ellos dicen la verdad;Они говорят правду
Ellos dicen mentiras;Они говорят ложь
Yo sé cocinar;Я умею готовить
Yo sé nadar;Я умею плавать
Yo sé la respuesta;Я знаю ответ
Tú sabes cantar;Ты умеешь петь
Tú sabes bailar;Ты умеешь танцевать
Tú sabes la verdad;Ты знаешь правду
Él sabe conducir;Он умеет водить машину
Él sabe hablar inglés;Он умеет говорить по-английски
Él sabe la dirección;Он знает адрес
Ella sabe tocar el piano;Она умеет играть на пианино
Ella sabe cocinar;Она умеет готовить
Ella sabe la historia;Она знает историю
Nosotros sabemos la respuesta;Мы знаем ответ
Nosotros sabemos jugar al fútbol;Мы умеем играть в футбол
Nosotros sabemos la verdad;Мы знаем правду
Vosotros sabéis la lección;Вы знаете урок
Vosotros sabéis bailar;Вы умеете танцевать
Vosotros sabéis la noticia;Вы знаете новость
Ellos saben la verdad;Они знают правду
Ellos saben tocar la guitarra;Они умеют играть на гитаре
Ellos saben el camino;Они знают дорогу
Yo quiero un café;Я хочу кофе
Yo quiero estudiar;Я хочу учиться
Yo quiero viajar;Я хочу путешествовать
Tú quieres ayuda;Ты хочешь помощи
Tú quieres dormir;Ты хочешь спать
Tú quieres comer;Ты хочешь есть
Él quiere trabajar;Он хочет работать
Él quiere descansar;Он хочет отдохнуть
Él quiere un coche;Он хочет машину
Ella quiere bailar;Она хочет танцевать
Ella quiere cantar;Она хочет петь
Ella quiere una casa;Она хочет дом
Nosotros queremos aprender;Мы хотим учиться
Nosotros queremos viajar;Мы хотим путешествовать
Nosotros queremos paz;Мы хотим мира
Vosotros queréis salir;Вы хотите выйти
Vosotros queréis jugar;Вы хотите играть
Vosotros queréis ganar;Вы хотите выиграть
Ellos quieren dinero;Они хотят денег
Ellos quieren tiempo;Они хотят времени
Ellos quieren amor;Они хотят любви
Yo veo la televisión;Я смотрю телевизор
Yo veo un pájaro;Я вижу птицу
Yo veo las estrellas;Я вижу звезды
Tú ves un coche;Ты видишь машину
Tú ves una película;Ты смотришь фильм
Tú ves el problema;Ты видишь проблему
Él ve un gato;Он видит кошку
Él ve las noticias;Он смотрит новости
Él ve el futuro;Он видит будущее
Ella ve un perro;Она видит собаку
Ella ve una flor;Она видит цветок
Ella ve la solución;Она видит решение
Nosotros vemos el mar;Мы видим море
Nosotros vemos un partido;Мы смотрим матч
Nosotros vemos la verdad;Мы видим правду
Vosotros veis una obra;Вы смотрите спектакль
Vosotros veis las montañas;Вы видите горы
Vosotros veis el error;Вы видите ошибку
Ellos ven un concierto;Они смотрят концерт
Ellos ven el cielo;Они видят небо
Ellos ven la oportunidad;Они видят возможность
Yo doy un regalo;Я дарю подарок
Yo doy las gracias;Я благодарю
Yo doy una clase;Я веду урок
Tú das una fiesta;Ты устраиваешь вечеринку
Tú das un consejo;Ты даешь совет
Tú das un paseo;Ты гуляешь
Él da un beso;Он целует
Él da una orden;Он отдает приказ
Él da un discurso;Он произносит речь
Ella da una respuesta;Она дает ответ
Ella da un abrazo;Она обнимает
Ella da una conferencia;Она читает лекцию
Nosotros damos dinero;Мы даем деньги
Nosotros damos una fiesta;Мы устраиваем вечеринку
Nosotros damos las gracias;Мы благодарим
Vosotros dais un ejemplo;Вы подаете пример
Vosotros dais una explicación;Вы даете объяснение
Vosotros dais un concierto;Вы даете концерт
Ellos dan un paso;Они делают шаг
Ellos dan una noticia;Они сообщают новость
Ellos dan un regalo;Они дарят подарок
Yo pongo la mesa;Я накрываю на стол
Yo pongo música;Я включаю музыку
Yo pongo atención;Я обращаю внимание
Tú pones un ejemplo;Ты приводишь пример
Tú pones la televisión;Ты включаешь телевизор
Tú pones sal a la comida;Ты солишь еду
Él pone un libro en la mesa;Он кладет книгу на стол
Él pone una película;Он включает фильм
Él pone una excusa;Он придумывает оправдание
Ella pone la ropa a secar;Она вешает одежду сушиться
Ella pone flores en el jarrón;Она ставит цветы в вазу
Ella pone una condición;Она ставит условие
Nosotros ponemos la mesa;Мы накрываем на стол
Nosotros ponemos un anuncio;Мы размещаем объявление
Nosotros ponemos reglas;Мы устанавливаем правила
Vosotros ponéis un ejemplo;Вы приводите пример
Vosotros ponéis orden;Вы наводите порядок
Vosotros ponéis la fecha;Вы назначаете дату
Ellos ponen la música;Они включают музыку
Ellos ponen carteles;Они вешают плакаты
Ellos ponen un negocio;Они открывают бизнес
Yo salgo de casa;Я выхожу из дома
Yo salgo con amigos;Я гуляю с друзьями
Yo salgo en la foto;Я получаюсь на фото
Tú sales del trabajo;Ты выходишь с работы
Tú sales de compras;Ты идешь за покупками
Tú sales por la noche;Ты выходишь вечером
Él sale temprano;Он выходит рано
Él sale en televisión;Он появляется на телевидении
Él sale de viaje;Он отправляется в путешествие
Ella sale a correr;Она выходит на пробежку
Ella sale bien en el examen;Она хорошо сдает экзамен
Ella sale con un chico;Она встречается с парнем
Nosotros salimos de fiesta;Мы идем на вечеринку
Nosotros salimos de vacaciones;Мы уезжаем в отпуск
Nosotros salimos en el periódico;Мы появляемся в газете
Vosotros salís del cine;Вы выходите из кинотеатра
Vosotros salís a cenar;Вы идете ужинать
Vosotros salís ganando;Вы выигрываете
Ellos salen del país;Они уезжают из страны
Ellos salen a bailar;Они идут танцевать
Ellos salen en la revista;Они появляются в журнале
Yo vengo de la escuela;Я прихожу из школы
Yo vengo a la fiesta;Я прихожу на вечеринку
Yo vengo en tren;Я приезжаю на поезде
Tú vienes a mi casa;Ты приходишь ко мне домой
Tú vienes conmigo;Ты идешь со мной
Tú vienes de lejos;Ты приезжаешь издалека
Él viene a trabajar;Он приходит на работу
Él viene del supermercado;Он приходит из супермаркета
Él viene en coche;Он приезжает на машине
Ella viene a la reunión;Она приходит на встречу
Ella viene de vacaciones;Она возвращается из отпуска
Ella viene con su familia;Она приходит со своей семьей
Nosotros venimos al concierto;Мы приходим на концерт
Nosotros venimos de la playa;Мы приезжаем с пляжа
Nosotros venimos en autobús;Мы приезжаем на автобусе
Vosotros venís a cenar;Вы приходите ужинать
Vosotros venís de España;Вы приезжаете из Испании
Vosotros venís temprano;Вы приходите рано
Ellos vienen a la fiesta;Они приходят на вечеринку
Ellos vienen del trabajo;Они приходят с работы
Ellos vienen en avión;Они прилетают на самолете
Yo he comido;Я поел
Yo he viajado;Я путешествовал
Yo he aprendido;Я выучил
Tú has dormido;Ты поспал
Tú has cantado;Ты спел
Tú has trabajado;Ты поработал
Él ha llegado;Он прибыл
Él ha estudiado;Он поучился
Él ha ganado;Он выиграл
Ella ha salido;Она вышла
Ella ha leído;Она прочитала
Ella ha cocinado;Она приготовила
Nosotros hemos jugado;Мы поиграли
Nosotros hemos hablado;Мы поговорили
Nosotros hemos vivido;Мы пожили
Vosotros habéis comido;Вы поели
Vosotros habéis bailado;Вы потанцевали
Vosotros habéis escrito;Вы написали
Ellos han viajado;Они путешествовали
Ellos han terminado;Они закончили
Ellos han comprado;Они купили
