translation_id,source_word_id,target_word_id,source_word,target_word,source_word_example,target_word_example
1000037,1000075,1000076,Estáis ocupados,Вы заняты,Estáis ocupados organizando la conferencia internacional,Вы заняты организацией международной конференции
1000038,1000077,1000078,Ellos están en el cine,Они в кино,Ellos están en el cine viendo la última película de ciencia ficción,Они в кино и смотрят последний научно-фантастический фильм
1000039,1000079,1000080,Ellos están cansados,Они устали,Ellos están cansados después de un largo día de excursión,Они устали после долгого дня экскурсии
1000040,1000081,1000082,Ellos están felices,Они счастливы,Ellos están felices porque acaban de comprar su primera casa,"Они счастливы, потому что только что купили свой первый дом."
1000041,1000083,1000084,Voy al mercado,Я иду на рынок,Voy al mercado a comprar frutas y verduras frescas,"Я иду на рынок, чтобы купить свежие фрукты и овощи."
1000042,1000085,1000086,Voy a estudiar,Я собираюсь учиться,Voy a estudiar toda la noche para el examen de mañana,Я собираюсь учиться всю ночь перед завтрашним экзаменом
1000043,1000087,1000088,Voy con mis amigos,Я иду с друзьями,Voy con mis amigos a un concierto de rock esta noche,Я иду с друзьями на рок-концерт сегодня вечером
1000044,1000089,1000090,Vas a la tienda,Ты идешь в магазин,Vas a la tienda a comprar leche y pan para el desayuno,Ты идешь в магазин за молоком и хлебом для завтрака
1000045,1000091,1000092,Vas a trabajar caminando,Ты идешь на работу пешком,Vas a trabajar en bicicleta todos los días,Ты ездишь на работу на велосипеде каждый день
1000046,1000093,1000094,Vas en autobús,Ты едешь на автобусе,Vas en autobús al centro de la ciudad para evitar el tráfico,"Ты едешь на автобусе в центр города, чтобы избежать пробок."
1000047,1000095,1000096,Él va al gimnasio,Он идет в спортзал,Él va al gimnasio tres veces por semana para mantenerse en forma,"Он ходит в спортзал три раза в неделю, чтобы поддерживать форму."
1000048,1000097,1000098,Él va a dormir,Он идет спать,Él va a dormir temprano porque tiene una reunión importante mañana,"Он ложится спать рано, потому что у него завтра важная встреча."
1000049,1000099,1000100,Él va en coche,Он едет на машине,Él va en coche al trabajo porque vive en las afueras de la ciudad,"Он ездит на работу на машине, потому что живет в пригороде."
1000050,1000101,1000102,Ella va a la playa,Она идет на пляж,Ella va a la playa todos los fines de semana para relajarse,"Она ходит на пляж каждые выходные, чтобы расслабиться."
1000051,1000103,1000104,Ella va a cocinar,Она собирается готовить,Ella va a cocinar una paella para sus amigos esta noche,Она собирается приготовить паэлью для своих друзей сегодня вечером
1000052,1000105,1000106,Ella va en bicicleta,Она едет на велосипеде,Ella va en bicicleta al trabajo para hacer ejercicio y evitar el tráfico,"Она ездит на работу на велосипеде, чтобы заниматься спортом и избегать пробок."
1000053,1000107,1000108,Vamos al parque,Мы идем в парк,Vamos al parque a hacer un picnic con la familia,Мы идем в парк на семейный пикник
1000054,1000109,1000110,Vamos a cenar,Мы идем ужинать,Vamos a cenar a un restaurante italiano para celebrar mi cumpleaños,"Мы идем ужинать в итальянский ресторан, чтобы отпраздновать мой день рождения."
1000055,1000111,1000112,Vamos en tren,Мы едем на поезде,Vamos en tren a París para nuestras vacaciones de verano,Мы едем на поезде в Париж на летние каникулы
1000056,1000113,1000114,Vais a la fiesta,Вы идете на вечеринку,Vais a la fiesta de graduación de la universidad,Вы идете на выпускной вечер в университете
1000057,1000115,1000116,Vais a cantar,Вы собираетесь петь,Vais a cantar en el coro de la iglesia este domingo,Вы будете петь в церковном хоре в это воскресенье
1000058,1000117,1000118,Vais en avión,Вы летите на самолете,Vais en avión a París,Вы летите на самолете в Париж
1000059,1000119,1000120,Ellos van al museo,Они идут в музей,Ellos van al museo para ver la exposición de arte,"Они идут в музей, чтобы посмотреть выставку искусства."
1000060,1000121,1000122,Ellos van a jugar,Они собираются играть,Ellos van a jugar al fútbol en el parque,Они собираются играть в футбол в парке
1000061,1000123,1000124,Ellos van en metro,Они едут на метро,Ellos van en metro al centro de la ciudad,Они едут на метро в центр города
1000062,1000125,1000126,A mí me gusta el café,Мне нравится кофе,A mí me gusta el café por las mañanas con un poco de azúcar,Мне нравится кофе по утрам с небольшим количеством сахара
1000063,1000127,1000128,A mí me gusta leer,Мне нравится читать,A mí me gusta leer novelas de misterio,Мне нравится читать детективные романы
1000064,1000129,1000130,A mí me gusta viajar,Мне нравится путешествовать,A mí me gusta viajar a diferentes países durante las vacaciones,Мне нравится путешествовать по разным странам в отпуске
1000065,1000131,1000132,A ti te gusta la música,Тебе нравится музыка,A ti te gusta la música clásica y los conciertos en vivo,Тебе нравится классическая музыка и живые концерты
1000066,1000133,1000134,A ti te gusta bailar,Тебе нравится танцевать,A ti te gusta bailar salsa los fines de semana,Тебе нравится танцевать сальсу по выходным
1000067,1000135,1000136,A ti te gusta el deporte,Тебе нравится спорт,"A ti te gusta el deporte al aire libre,Especialmente correr.","Тебе нравится спорт на свежем воздухе, особенно бег."
1000068,1000137,1000138,A él le gusta cocinar,Ему нравится готовить,A él le gusta cocinar platos nuevos y experimentar en la cocina,Ему нравится готовить новые блюда и экспериментировать на кухне
1000069,1000139,1000140,A él le gusta el cine,Ему нравится кино,A él le gusta el cine de acción y las películas de superhéroes,Ему нравятся боевики и фильмы о супергероях
1000070,1000141,1000142,A él le gusta dormir,Ему нравится спать,A él le gusta dormir hasta tarde los fines de semana,Ему нравится спать до позднего утра по выходным
1000071,1000143,1000144,A ella le gusta cantar,Ей нравится петь,A ella le gusta cantar en la ducha y en casa,Ей нравится петь в душе и дома
1000072,1000145,1000146,A ella le gusta la playa,Ей нравится пляж,A ella le gusta la playa en verano para tomar el sol,"Ей нравится пляж летом, чтобы загорать."
1000073,1000147,1000148,A ella le gusta estudiar,Ей нравится учиться,A ella le gusta estudiar idiomas y aprender sobre diferentes culturas,Ей нравится изучать языки и узнавать о разных культурах
1000074,1000149,1000150,A nosotros nos gusta viajar,Нам нравится путешествовать,A nosotros nos gusta viajar en grupo y descubrir nuevos lugares,Нам нравится путешествовать в группе и открывать новые места
1000075,1000151,1000152,A nosotros nos gusta la comida,Нам нравится еда,"A nosotros nos gusta la comida italiana,Especialmente la pasta.","Нам нравится итальянская еда, особенно паста."
1000076,1000153,1000154,A nosotros nos gusta el fútbol,Нам нравится футбол,A nosotros nos gusta el fútbol en equipo y jugar los domingos,Нам нравится командный футбол и играть по воскресеньям
1000077,1000155,1000156,A vosotros os gusta bailar,Вам нравится танцевать,A vosotros os gusta bailar en las fiestas de cumpleaños,Вам нравится танцевать на днях рождения
1000078,1000157,1000158,A vosotros os gusta el teatro,Вам нравится театр,A vosotros os gusta el teatro clásico y asistir a las obras en el centro,Вам нравится классический театр и посещать спектакли в центре
1000079,1000159,1000160,A vosotros os gusta la naturaleza,Вам нравится природа,A vosotros os gusta la naturaleza y el senderismo en las montañas,Вам нравится природа и пешие походы в горах
1000080,1000161,1000162,A ellos les gusta la fiesta,Им нравится вечеринка,"A ellos les gusta la fiesta hasta tarde,Especialmente en verano.","Им нравится вечеринка до поздней ночи, особенно летом."
1000081,1000163,1000164,A ellos les gusta el arte,Им нравится искусство,A ellos les gusta el arte moderno y visitar museos,Им нравится современное искусство и посещение музеев
1000082,1000165,1000166,A ellos les gusta nadar,Им нравится плавать,A ellos les gusta nadar en el mar y en la piscina,Им нравится плавать в море и в бассейне
1000083,1000167,1000168,Tengo un libro,У меня есть книга,Tengo un libro de aventuras que me encanta,"У меня есть книга приключений, которая мне очень нравится."
1000084,1000169,1000170,Tengo hambre,Я голоден,"Yo tengo hambre,Quiero comer algo ahora mismo.","Я голоден, хочу что-нибудь поесть прямо сейчас."
1000085,1000171,1000172,Tengo 20 años,Мне 20 лет,Tengo 20 años y estudio en la universidad en la facultad de medicina,"Мне 20 лет, и я учусь в университете на медицинском факультете."
1000086,1000173,1000174,Tienes un perro,У тебя есть собака,Tienes un perro muy bonito que siempre te sigue,"У тебя очень красивая собака, которая всегда за тобой следует."
1000087,1000175,1000176,Tienes razón,Ты прав,Tienes razón en lo que dices sobre la situación,"Ты прав в том, что говоришь о ситуации."
1000088,1000177,1000178,Tienes tiempo,У тебя есть время,Tienes tiempo para terminar el trabajo antes de la fecha límite,У тебя есть время закончить работу до крайнего срока
1000089,1000179,1000180,Él tiene una casa,У него есть дом,Él tiene una casa en el campo con un gran jardín,У него есть дом в деревне с большим садом
1000090,1000181,1000182,Él tiene miedo,Он боится,Él tiene miedo de la oscuridad y de quedarse solo,Он боится темноты и остаться один
1000091,1000183,1000184,Él tiene trabajo,У него есть работа,Él tiene trabajo como ingeniero en una empresa internacional,Он работает инженером в международной компании
1000092,1000185,1000186,Ella tiene un coche,У нее есть машина,Ella tiene un coche rojo que compró el año pasado,"У нее красная машина, которую она купила в прошлом году."
1000093,1000187,1000188,Ella tiene frío,Ей холодно,Ella tiene frío y necesita una chaqueta más abrigada,"Ей холодно, ей нужна более теплая куртка."
1000094,1000189,1000190,Ella tiene una idea,У нее есть идея,Ella tiene una idea para un nuevo proyecto de arte,У нее есть идея для нового художественного проекта
1000095,1000191,1000192,Tenemos una familia,У нас есть семья,Tenemos una familia grande y muy unida,У нас большая и очень дружная семья
1000096,1000193,1000194,Tenemos planes,У нас есть планы,Tenemos planes para el fin de semana en la playa,У нас есть планы на выходные на пляже
1000097,1000195,1000196,Tenemos suerte,У нас есть удача,Tenemos suerte de estar aquí juntos,Нам повезло быть здесь вместе
1000098,1000197,1000198,Tenéis amigos,У вас есть друзья,"Vosotros tenéis amigos en todas partes,Incluso en el extranjero.","У вас есть друзья повсюду, даже за границей."
1000099,1000199,1000200,Tenéis razón,Вы правы,Tenéis razón sobre el problema y debemos solucionarlo,"Вы правы по поводу проблемы, и нам нужно её решить."
1000100,1000201,1000202,Tenéis talento,У вас есть талант,Tenéis talento para la música y para tocar varios instrumentos,У вас есть талант к музыке и игре на нескольких инструментах
1000101,1000203,1000204,Ellos tienen dinero,У них есть деньги,Ellos tienen dinero para comprar una casa en la ciudad,У них есть деньги на покупку дома в городе
1000102,1000205,1000206,Ellos tienen sueños,У них есть мечты,Ellos tienen sueños de viajar por el mundo y conocer nuevas culturas,У них есть мечты путешествовать по миру и знакомиться с новыми культурами
1000103,1000207,1000208,Ellos tienen problemas,У них есть проблемы,Ellos tienen problemas en el trabajo con su jefe,У них проблемы на работе с начальником
1000104,1000209,1000210,Hago mi tarea,Я делаю домашнее задание,Hago mi tarea todos los días después de la escuela,Я делаю домашнее задание каждый день после школы
1000105,1000211,1000212,Hago ejercicio,Я делаю упражнения,Hago ejercicio por la mañana antes de desayunar,Я занимаюсь спортом по утрам перед завтраком
1000106,1000213,1000214,Hago la cena,Я готовлю ужин,Hago la cena para toda la familia todos los días,Я готовлю ужин для всей семьи каждый день
1000107,1000215,1000216,Haces un pastel,Ты делаешь торт,Haces un pastel delicioso con fresas y crema,Ты делаешь вкусный торт с клубникой и кремом
1000108,1000217,1000218,Haces preguntas,Ты задаешь вопросы,Haces muchas preguntas en clase sobre los temas difíciles,Ты задаешь много вопросов на уроке по сложным темам
1000109,1000219,1000220,Haces deporte,Ты занимаешься спортом,Haces deporte todos los días para mantenerte en forma,"Ты занимаешься спортом каждый день, чтобы поддерживать форму."
1000110,1000221,1000222,Él hace su cama,Он заправляет свою постель,Él hace su cama todas las mañanas antes de salir,Он заправляет свою постель каждое утро перед выходом
1000111,1000223,1000224,Ellos hacen un esfuerzo,Они делают усилие,Ellos hacen un esfuerzo para mejorar en su trabajo,"Они делают усилие, чтобы стать лучше в своей работе."
1000112,1000225,1000226,Ellos filman una película,Они снимают фильм,Ellos hacen una película sobre la historia del cine,Они снимают фильм о истории кино
1000113,1000227,1000228,Ellos hacen negocios,Они ведут бизнес,Ellos hacen negocios en todo el mundo y tienen muchas conexiones,Они ведут бизнес по всему миру и имеют много связей
1000114,1000229,1000230,Puedo nadar,Я могу плавать,Puedo nadar muy bien en el mar y en la piscina,Я умею хорошо плавать в море и в бассейне
1000115,1000231,1000232,Puedo ayudarte,Я могу помочь тебе,Puedo ayudarte con el proyecto que tienes que entregar mañana,"Я могу помочь тебе с проектом, который тебе нужно сдать завтра."
1000116,1000233,1000234,Puedo cantar,Я могу петь,Puedo cantar en el coro de la iglesia,Я могу петь в церковном хоре
1000117,1000235,1000236,Puedes correr,Ты можешь бегать,Puedes correr rápido y participar en competiciones,Ты можешь бегать быстро и участвовать в соревнованиях
1000118,1000237,1000238,Puedes aprender,Ты можешь учиться,Puedes aprender un nuevo idioma si practicas todos los días,"Ты можешь выучить новый язык, если будешь заниматься каждый день."
1000119,1000239,1000240,Puedes ganar,Ты можешь победить,Puedes ganar el juego si sigues las reglas,"Ты можешь выиграть игру, если будешь следовать правилам."
1000120,1000241,1000242,Él puede cocinar,Он может готовить,Él puede cocinar platos muy sabrosos para toda la familia,Он умеет готовить очень вкусные блюда для всей семьи
1000121,1000243,1000244,Él puede trabajar,Он может работать,Él puede trabajar desde casa y ser igual de productivo,Он может работать из дома и быть таким же продуктивным
1000122,1000245,1000246,Él puede viajar,Он может путешествовать,Él puede viajar por todo el mundo y conocer nuevas culturas,Он может путешествовать по всему миру и знакомиться с новыми культурами
1000123,1000247,1000248,Ella puede bailar,Она может танцевать,Ella puede bailar flamenco como una profesional,Она умеет танцевать фламенко как профессионал
1000124,1000249,1000250,Ella puede enseñar,Она может преподавать,Ella puede enseñar inglés a estudiantes de diferentes niveles,Она может преподавать английский язык студентам разного уровня
1000125,1000251,1000252,Ella puede conducir,Она может водить машину,Ella puede conducir por la ciudad y también en carretera,Она может водить машину по городу и также на трассе
1000126,1000253,1000254,Podemos jugar,Мы можем играть,Podemos jugar al fútbol en el parque los domingos,Мы можем играть в футбол в парке по воскресеньям
1000127,1000255,1000256,Podemos estudiar,Мы можем учиться,Podemos estudiar juntos para los exámenes,Мы можем учиться вместе для экзаменов
1000128,1000257,1000258,Podemos cambiar,Мы можем изменить,Podemos cambiar el mundo si trabajamos unidos,"Мы можем изменить мир, если будем работать вместе."
1000129,1000259,1000260,Podéis venir,Вы можете прийти,Podéis venir a la fiesta el sábado por la noche,Вы можете прийти на вечеринку в субботу вечером
1000130,1000261,1000262,Podéis elegir,Вы можете выбрать,Podéis elegir entre varias opciones interesantes,Вы можете выбрать из нескольких интересных вариантов
1000131,1000263,1000264,Podéis ganar,Вы можете победить,Podéis ganar el campeonato,Вы можете выиграть чемпионат
1000132,1000265,1000266,Ellos pueden leer,Они могут читать,Ellos pueden leer muy rápido,Они могут читать очень быстро
1000133,1000267,1000268,Ellos pueden volar,Они могут летать,Ellos pueden volar en avión a cualquier lugar,Они могут летать на самолете куда угодно
1000134,1000269,1000270,Ellos pueden entender,Они могут понять,Ellos pueden entender el problema y buscar soluciones,Они могут понять проблему и искать решения
1000135,1000271,1000272,Digo la verdad,Я говорю правду,Siempre digo la verdad,Я всегда говорю правду
1000136,1000273,1000274,Digo hola,Я говорю привет,Digo hola a todos mis amigos,Я говорю привет всем своим друзьям
1000137,1000275,1000276,Digo gracias,Я говорю спасибо,Digo gracias por la ayuda,Я говорю спасибо за помощь
1000138,1000277,1000278,Dices mentiras,Ты говоришь неправду,Dices mentiras para evitar problemas,"Ты говоришь неправду, чтобы избежать проблем."
1000139,1000279,1000280,Dices adiós,Ты говоришь пока,Dices adiós cuando te vas,"Ты говоришь пока, когда уходишь."
1000140,1000281,1000282,Dices perdón,Ты говоришь извини,Dices perdón cuando cometes un error,"Ты говоришь извини, когда совершаешь ошибку."
1000141,1000283,1000284,Él dice su nombre,Он говорит свое имя,Él dice su nombre en voz alta,Он говорит свое имя вслух
1000142,1000285,1000286,Él dice la hora,Он говорит время,Él dice la hora cada vez que alguien pregunta,"Он говорит время, когда кто-то спрашивает."
1000143,1000287,1000288,Él cuenta un secreto,Он рассказывает секрет,Él dice un secreto a su amigo,Он рассказывает секрет своему другу
1000144,1000289,1000290,Ella dice la verdad,Она говорит правду,Ella dice la verdad sobre todo,Она говорит правду обо всем
1000145,1000291,1000292,Ella cuenta una historia,Она рассказывает историю,Ella dice una historia interesante,Она рассказывает интересную историю
1000146,1000293,1000294,Ella cuenta un chiste,Она рассказывает шутку,Ella dice un chiste y todos se ríen,"Она рассказывает шутку, и все смеются."
1000147,1000295,1000296,Decimos sí,Мы говорим да,Decimos sí a la propuesta,Мы говорим да на предложение
1000148,1000297,1000298,Decimos no,Мы говорим нет,Decimos no a la oferta,Мы говорим нет на предложение
1000149,1000299,1000300,Decimos por favor,Мы говорим пожалуйста,Decimos por favor cuando pedimos algo,"Мы говорим пожалуйста, когда о чем-то просим."
1000150,1000301,1000302,Decís la respuesta,Вы говорите ответ,Decís la respuesta correcta,Вы даете правильный ответ
1000151,1000303,1000304,Decís buenos días,Вы говорите доброе утро,Decís buenos días a todos,Вы говорите доброе утро всем
1000152,1000305,1000306,Decís buenas noches,Вы говорите спокойной ночи,Decís buenas noches antes de dormir,Вы говорите спокойной ночи перед сном
1000153,1000307,1000308,Ellos dicen tonterías,Они говорят глупости,Ellos dicen tonterías cuando están nerviosos,"Они говорят глупости, когда нервничают."
1000154,1000309,1000310,Ellos dicen la verdad,Они говорят правду,Ellos dicen la verdad sobre lo que pasó,"Они говорят правду о том, что произошло."
1000155,1000311,1000312,Ellos dicen mentiras,Они говорят неправду,Ellos dicen mentiras para evitar problemas,"Они говорят неправду, чтобы избежать проблем."
1000156,1000313,1000314,Sé cocinar,Я умею готовить,Sé cocinar platos deliciosos,Я умею готовить вкусные блюда
1000157,1000315,1000316,Sé nadar,Я умею плавать,Sé nadar muy bien,Я умею хорошо плавать
1000158,1000317,1000318,Sé la respuesta,Я знаю ответ,Sé la respuesta correcta,Я знаю правильный ответ
1000159,1000319,1000320,Sabes cantar,Ты умеешь петь,Sabes cantar muy bien,Ты умеешь хорошо петь
1000160,1000321,1000322,Sabes bailar,Ты умеешь танцевать,Sabes bailar salsa,Ты умеешь танцевать сальсу
1000161,1000323,1000324,Sabes la verdad,Ты знаешь правду,Sabes la verdad sobre el incidente,Ты знаешь правду о происшествии
1000162,1000325,1000326,Él sabe conducir,Он умеет водить машину,Él sabe conducir desde los 18 años,Он умеет водить машину с 18 лет
1000163,1000327,1000328,Él sabe hablar inglés,Он умеет говорить по-английски,Él sabe hablar inglés con fluidez,Он свободно говорит по-английски
1000164,1000329,1000330,Él sabe la dirección,Он знает адрес,Él sabe la dirección de la oficina,Он знает адрес офиса
1000165,1000331,1000332,Ella sabe tocar el piano,Она умеет играть на пианино,Ella sabe tocar el piano desde niña,Она умеет играть на пианино с детства
1000166,1000333,1000334,Ella sabe cocinar,Она умеет готовить,Ella sabe cocinar platos deliciosos,Она умеет готовить вкусные блюда
1000167,1000335,1000336,Ella sabe la historia,Она знает историю,Ella sabe la historia de su familia,Она знает историю своей семьи
1000168,1000337,1000338,Sabemos la respuesta,Мы знаем ответ,Sabemos la respuesta a la pregunta,Мы знаем ответ на вопрос
1000169,1000339,1000340,Sabemos jugar al fútbol,Мы умеем играть в футбол,Sabemos jugar al fútbol en equipo,Мы умеем играть в командный футбол
1000170,1000341,1000342,Sabemos la verdad,Мы знаем правду,Sabemos la verdad sobre el accidente,Мы знаем правду о происшествии
1000171,1000343,1000344,Sabéis la lección,Вы выучили урок,Sabéis la lección de memoria,Вы знаете урок наизусть
1000172,1000345,1000346,Sabéis bailar,Вы умеете танцевать,Sabéis bailar muy bien,Вы умеете хорошо танцевать
1000173,1000347,1000348,Sabéis la noticia,Вы знаете новость,Sabéis la noticia antes que nadie,Вы знаете новость раньше всех
1000174,1000349,1000350,Ellos saben la verdad,Они знают правду,Ellos saben la verdad sobre el robo,Они знают правду о краже
1000175,1000351,1000352,Ellos saben tocar la guitarra,Они умеют играть на гитаре,Ellos saben tocar la guitarra como profesionales,Они умеют играть на гитаре как профессионалы
1000176,1000353,1000354,Ellos saben el camino,Они знают дорогу,Ellos saben el camino a la escuela,Они знают дорогу в школу
1000177,1000355,1000356,Quiero un café,Я хочу кофе,Quiero un café con leche,Я хочу кофе с молоком
1000178,1000357,1000358,Quiero estudiar,Я хочу учиться,Quiero estudiar medicina,Я хочу учиться на врача
1000179,1000359,1000360,Quiero viajar,Я хочу путешествовать,Quiero viajar por Europa,Я хочу путешествовать по Европе
1000180,1000361,1000362,Quieres ayuda,Ты хочешь помощи,Quieres ayuda con la tarea,Ты хочешь помощи с домашним заданием
1000181,1000363,1000364,Quieres dormir,Ты хочешь спать,Quieres dormir temprano esta noche,Ты хочешь лечь спать рано сегодня вечером
1000182,1000365,1000366,Quieres comer,Ты хочешь есть,Quieres comer pizza para la cena,Ты хочешь поужинать пиццей
1000183,1000367,1000368,Él quiere trabajar,Он хочет работать,Él quiere trabajar en una empresa internacional,Он хочет работать в международной компании
1000184,1000369,1000370,Él quiere descansar,Он хочет отдохнуть,Él quiere descansar después del trabajo,Он хочет отдохнуть после работы
1000185,1000371,1000372,Él quiere un coche,Он хочет машину,Él quiere un coche nuevo,Он хочет новую машину
1000186,1000373,1000374,Ella quiere bailar,Она хочет танцевать,Ella quiere bailar toda la noche,Она хочет танцевать всю ночь
1000187,1000375,1000376,Ella quiere cantar,Она хочет петь,Ella quiere cantar en un coro,Она хочет петь в хоре
1000188,1000377,1000378,Ella quiere una casa,Она хочет дом,Ella quiere una casa en el campo,Она хочет дом в деревне
1000189,1000379,1000380,Queremos aprender,Мы хотим учиться,Queremos aprender un nuevo idioma,Мы хотим выучить новый язык
1000190,1000381,1000382,Queremos viajar,Мы хотим путешествовать,Queremos viajar por todo el mundo,Мы хотим путешествовать по всему миру
1000191,1000383,1000384,Queremos paz,Мы хотим мира,Queremos paz en el mundo,Мы хотим мира во всем мире
1000192,1000385,1000386,Queréis salir,Вы хотите выйти,Queréis salir esta noche,Вы хотите выйти сегодня вечером
1000193,1000387,1000388,Queréis jugar,Вы хотите поиграть,Queréis jugar al fútbol,Вы хотите поиграть в футбол
1000194,1000389,1000390,Queréis ganar,Вы хотите победить,Queréis ganar el campeonato,Вы хотите выиграть чемпионат
1000195,1000391,1000392,Ellos quieren dinero,Они хотят денег,Ellos quieren dinero para viajar,Они хотят денег на путешествие
1000196,1000393,1000394,Ellos quieren tiempo,Они хотят времени,Ellos quieren tiempo para descansar,Они хотят времени на отдых
1000197,1000395,1000396,Ellos quieren amor,Они хотят любви,Ellos quieren amor y comprensión,Они хотят любви и понимания
1000198,1000397,1000398,Veo la televisión,Я смотрю телевизор,Veo la televisión todas las noches,Я смотрю телевизор каждый вечер
1000199,1000399,1000400,Veo un pájaro,Я вижу птицу,Veo un pájaro en el árbol,Я вижу птицу на дереве
1000200,1000401,1000402,Veo las estrellas,Я вижу звезды,Veo las estrellas en el cielo,Я вижу звезды на небе
1000201,1000403,1000404,Ves un coche,Ты видишь машину,Ves un coche rojo en la calle,Ты видишь красную машину на улице
